protocol_id,codigo_ine,municipio,provincia,comunidad,tipo,descripcion,nivel_confianza,lon_publica,lat_publica,creado_en
ES-MU-13028-INC-2026-001,13028,Campo de Criptana,Ciudad Real,Castilla-La Mancha,multa,Artículo de ordenanza municipal que asimila pernoctar dentro del vehículo con acampada ilegal en vía pública urbana.,4,-3.08085146531553,39.362783589078,2026-09-03T16:33:52.626295+00:00
ES-MU-33036-INC-2026-001,33036,Llanes,Asturias,Principado de Asturias,senal_ilegal,Instalación de señales con silueta de autocaravana tachada prohibiendo estacionar de 22:00 a 08:00 sin número de acuerdo plenario ni amparo en el RGC.,3,-4.83185470502061,43.3986170222517,2026-09-03T16:33:52.626295+00:00
ES-MU-33056-INC-2026-001,33056,Ribadesella,Asturias,Principado de Asturias,multa,Sanción de 100€ a autocaravana estacionada 28 horas continuadas en aparcamiento libre donde los turismos pueden estacionar indefinidamente.,4,-5.08309733143693,43.4454829554333,2026-09-03T16:33:52.626295+00:00
ES-MU-39047-INC-2026-001,39047,Noja,Cantabria,Cantabria,bloqueo_acceso,Estructura metálica soldada a 2 metros en entrada de aparcamiento público asfaltado fuera de zona de servidumbre de protección de Costas.,4,-3.5194480025727,43.4783680355235,2026-09-03T16:33:52.626295+00:00
ES-MU-39080-INC-2026-001,39080,San Vicente de la Barquera,Cantabria,Cantabria,desalojo,Requerimiento de abandono a las 01:30 en el aparcamiento de El Tostadero a usuarios que dormían dentro de su camper sin elementos exteriores.,3,-4.3934055675924,43.3686082289681,2026-09-03T16:33:52.626295+00:00
ES-MU-11035-INC-2026-001,11035,Tarifa,Cádiz,Andalucía,multa,Denuncia de 150€ por estacionar en calle pública asfaltada de Los Lances con el argumento de que el vehículo contiene cama y cocina.,4,-5.68302889318154,36.1264483457566,2026-09-03T16:33:52.626295+00:00
ES-MU-11014-INC-2026-001,11014,Conil de la Frontera,Cádiz,Andalucía,senal_ilegal,Colocación masiva de señales de prohibido estacionar con placa complementaria excluyendo autocaravanas en Fontanilla y Roche.,3,-6.07747276087481,36.3120142502862,2026-09-03T16:33:52.626295+00:00
ES-MU-03018-INC-2026-001,03018,Altea,Alacant,Comunitat Valenciana,bloqueo_acceso,Limitador a 2.10m impidiendo el estacionamiento de cualquier furgoneta o autocaravana mientras se permite a furgones de reparto matinales.,3,-0.0466396277206164,38.6259396230645,2026-09-03T16:33:52.626295+00:00
ES-MU-03047-INC-2026-001,03047,Calp,Alacant,Comunitat Valenciana,senal_ilegal,Placa municipal con dibujo de camper tachada y amenaza de sanción de hasta 500 euros.,3,0.0448345397045948,38.6532359493448,2026-09-03T16:33:52.626295+00:00
ES-MU-12089-INC-2026-001,12089,Peníscola/Peñíscola,Castelló,Comunitat Valenciana,multa,Multa a autocaravana de 5.4m en avenida de 12 metros de ancho mientras camionetas tipo pick-up de 5.8m no son sancionadas.,4,0.35570905062221,40.357533704277,2026-09-03T16:33:52.626295+00:00
ES-MU-43905-INC-2026-001,43905,Salou,Tarragona,Cataluña,senal_ilegal,Cartelería municipal advirtiendo de retirada con grúa a vehículos vivienda en aparcamientos públicos de pago.,3,1.14510525102031,41.0801145442712,2026-09-03T16:33:52.626295+00:00
ES-MU-17032-INC-2026-001,17032,Cadaqués,Girona,Cataluña,desalojo,Ordenanza municipal que prohíbe pasar la noche dentro del vehículo en suelo urbano consolidado.,4,3.27425160356923,42.2914022208102,2026-09-03T16:33:52.626295+00:00
ES-MU-17202-INC-2026-001,17202,Tossa de Mar,Girona,Cataluña,bloqueo_acceso,Cierre físico del acceso al aparcamiento público mediante barra horizontal con candado.,3,2.91559036651871,41.7424399961471,2026-09-03T16:33:52.626295+00:00
ES-MU-29075-INC-2026-001,29075,Nerja,Málaga,Andalucía,desalojo,Patrulla policial requirió a 6 autocaravanas marcharse a las 02:30 alegando ordenanza de playas sin estar en zona de arena.,3,-3.8294149106344,36.7864571173988,2026-09-03T16:33:52.626295+00:00
ES-MU-04064-INC-2026-001,04064,Mojácar,Almería,Andalucía,multa,Boletín de denuncia por tener los aislantes térmicos colocados en el parabrisas mientras el vehículo estaba legalmente aparcado.,4,-1.86569265611237,37.1148929985733,2026-09-03T16:33:52.626295+00:00
ES-MU-30003-INC-2026-001,30003,Águilas,Murcia,Región de Murcia,senal_ilegal,Cartel no homologado prohibiendo expresamente a furgonetas camper mientras se permite el aparcamiento a turismos y todoterrenos.,3,-1.58954411765523,37.4685789785835,2026-09-03T16:33:52.626295+00:00
